Kingdom,Phylum,Class,Order,Family,Genus,Species,Infrarank,Subpopulation,Taxon ID,Friendly Name,Taxonomic Authority 
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,caligata,N/A,N/A,42456,"Marmota caligata","(Eschscholtz, 1829)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,flaviventris,N/A,N/A,42457,"Marmota flaviventris","(Audubon &amp; Bachman, 1841)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,championi,N/A,N/A,17882,"Pogonomys championi","Flannery, 1988"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,monax,N/A,N/A,42458,"Marmota monax","(Linnaeus, 1758)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,loriae,N/A,N/A,17883,"Pogonomys loriae","Thomas, 1897"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Marmota,olympus,N/A,N/A,42459,"Marmota olympus","(Merriam, 1898)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,macrourus,N/A,N/A,17884,"Pogonomys macrourus","(Milne-Edwards, 1877)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Rhinosciurus,laticaudatus,N/A,N/A,42460,"Rhinosciurus laticaudatus","(Müller, 1840)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Pogonomys,sylvestris,N/A,N/A,17885,"Pogonomys sylvestris","Thomas, 1920"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Sciurus,aberti,N/A,N/A,42461,"Sciurus aberti","Woodhouse, 1853"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Sciurus,carolinensis,N/A,N/A,42462,"Sciurus carolinensis","Gmelin, 1788"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,armatus,N/A,N/A,42463,"Urocitellus armatus","Kennicott, 1863"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,beldingi,N/A,N/A,42464,"Urocitellus beldingi","Merriam, 1888"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,canus,N/A,N/A,42465,"Urocitellus canus","Merriam, 1898"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,columbianus,N/A,N/A,42466,"Urocitellus columbianus","Ord, 1815"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,elegans,N/A,N/A,42467,"Urocitellus elegans","Kennicott, 1863"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Callospermophilus,lateralis,N/A,N/A,42468,"Callospermophilus lateralis","Say, 1823"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,mollis,N/A,N/A,42469,"Urocitellus mollis","Kennicott, 1863"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Spermophilus,musicus,N/A,N/A,42470,"Spermophilus musicus","Ménétries, 1832"
